Classe;Nom;MS % brut;PB % brut;CB % brut;MGR % brut;MM % brut;NDF % brut;ADF % brut;Lignine % brut;Amidon % brut;Sucres % brut;EB (kcal) kcal/kg brut;ED porc croissance (kcal) kcal/kg brut;EM porc croissance (kcal) kcal/kg brut;EN porc croissance (kcal) kcal/kg brut;EMAn coq (kcal) kcal/kg brut;EMAn poulet (kcal) kcal/kg brut;UFL 2018 par kg brut;PDI 2018 g/kg brut;BalProRu 2018 g/kg brut
Céréales;Blé;87.3000030517578;8.19999980926514;2;1.29999995231628;1.5;11.3000001907349;2.79999995231628;0.899999976158142;62.7000007629395;2.59999990463257;3750;3330;3240;2550;2980;2860;1.04999995231628;72;-34
Céréales;Blé;87;8.19999980926514;2.29999995231628;1.29999995231628;1.60000002384186;12.3999996185303;3.20000004768372;1;61.4000015258789;2.59999990463257;3740;3260;3180;2500;2920;2810;1.02999997138977;71;-33
Céréales;Blé;86.8000030517578;8.19999980926514;2;1.29999995231628;1.5;11.1999998092651;2.79999995231628;0.899999976158142;61.4000015258789;2.59999990463257;3730;3310;3220;2530;2920;2810;1.03999996185303;72;-33
Céréales;Blé;86.5;8.19999980926514;2.20000004768372;1.20000004768372;1.5;12;3;1;61.0999984741211;2.59999990463257;3720;3260;3170;2490;2900;2790;1.02999997138977;71;-33
Céréales;Blé;86.3000030517578;8.19999980926514;1.89999997615814;1.29999995231628;1.5;10.8000001907349;2.70000004768372;0.899999976158142;61.5;2.59999990463257;3710;3300;3210;2530;2930;2810;1.03999996185303;71;-33
Céréales;Blé;86;8.19999980926514;2.09999990463257;1.29999995231628;1.5;11.6000003814697;2.90000009536743;0.899999976158142;60.7999992370605;2.59999990463257;3700;3260;3170;2490;2900;2790;1.02999997138977;71;-32
Céréales;Blé;85.8000030517578;8.19999980926514;1.89999997615814;1.29999995231628;1.5;10.8000001907349;2.70000004768372;0.899999976158142;61.2000007629395;2.59999990463257;3690;3280;3190;2510;2920;2800;1.02999997138977;71;-32
Céréales;Blé;85.5;8.19999980926514;2.5;1.20000004768372;1.39999997615814;13.1999998092651;3.40000009536743;1.10000002384186;60.7000007629395;2.59999990463257;3680;3170;3090;2440;2890;2780;1.00999999046326;70;-31
Céréales;Blé;85;8.19999980926514;2.29999995231628;1.20000004768372;1.60000002384186;12.3999996185303;3.20000004768372;1;60.5;2.59999990463257;3650;3180;3090;2440;2880;2770;1.00999999046326;70;-31
Céréales;Blé;84.5;8.19999980926514;2.09999990463257;1.20000004768372;1.60000002384186;11.5;2.90000009536743;0.899999976158142;60.0999984741211;2.59999990463257;3630;3190;3100;2440;2870;2750;1.00999999046326;70;-31
Céréales;Blé;84;8.19999980926514;2;1.20000004768372;1.29999995231628;11.1000003814697;2.79999995231628;0.899999976158142;59.9000015258789;2.59999990463257;3620;3200;3110;2450;2860;2750;1.00999999046326;70;-30
Céréales;Blé;83.5;8.19999980926514;2.09999990463257;1.10000002384186;1.60000002384186;11.5;2.90000009536743;0.899999976158142;59.4000015258789;2.59999990463257;3580;3150;3060;2410;2830;2720;0.990000009536743;69;-29
